"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2015","2,6575","2,6575","2,6575","2,6575","","0,00%"
"02.01.2015","2,6941","2,6580","2,7087","2,6580","","1,38%"
"05.01.2015","2,7064","2,6936","2,7309","2,6936","","0,46%"
"06.01.2015","2,7001","2,7064","2,7235","2,6916","","-0,23%"
"07.01.2015","2,6835","2,7002","2,7090","2,6737","","-0,61%"
"08.01.2015","2,6630","2,6840","2,7030","2,6617","","-0,76%"
"09.01.2015","2,6301","2,6622","2,6738","2,6263","","-1,24%"
"12.01.2015","2,6734","2,6301","2,6745","2,6301","","1,65%"
"13.01.2015","2,6430","2,6738","2,6827","2,6273","","-1,14%"
"14.01.2015","2,6159","2,6425","2,6536","2,6025","","-1,03%"
"15.01.2015","2,6422","2,6171","2,6457","2,5953","","1,01%"
"16.01.2015","2,6210","2,6416","2,6437","2,6145","","-0,80%"
"19.01.2015","2,6517","2,6211","2,6645","2,6189","","1,17%"
"20.01.2015","2,6138","2,6516","2,6527","2,6078","","-1,43%"
"21.01.2015","2,6005","2,6138","2,6143","2,5853","","-0,51%"
"22.01.2015","2,5745","2,6010","2,6015","2,5499","","-1,00%"
"23.01.2015","2,5797","2,5747","2,5995","2,5713","","0,20%"
"26.01.2015","2,5835","2,5787","2,6085","2,5787","","0,15%"
"27.01.2015","2,5724","2,5835","2,5982","2,5648","","-0,43%"
"28.01.2015","2,5764","2,5730","2,5911","2,5665","","0,16%"
"29.01.2015","2,6035","2,5764","2,6176","2,5764","","1,05%"
"30.01.2015","2,6824","2,6037","2,6930","2,6037","","3,03%"
"02.02.2015","2,7271","2,6824","2,7293","2,6660","","1,67%"
"03.02.2015","2,6945","2,7266","2,7279","2,6875","","-1,20%"
"04.02.2015","2,7418","2,6942","2,7483","2,6917","","1,76%"
"05.02.2015","2,7451","2,7421","2,7623","2,7223","","0,12%"
"06.02.2015","2,7825","2,7456","2,7852","2,7430","","1,36%"
"09.02.2015","2,7698","2,7828","2,7980","2,7652","","-0,46%"
"10.02.2015","2,8343","2,7690","2,8398","2,7690","","2,33%"
"11.02.2015","2,8693","2,8343","2,8826","2,8343","","1,23%"
"12.02.2015","2,8210","2,8693","2,8787","2,8154","","-1,68%"
"13.02.2015","2,8346","2,8213","2,8591","2,8160","","0,48%"
"16.02.2015","2,8346","2,8346","2,8346","2,8346","","0,00%"
"17.02.2015","2,8296","2,8338","2,8338","2,8290","","-0,18%"
"18.02.2015","2,8374","2,8300","2,8496","2,8284","","0,28%"
"19.02.2015","2,8665","2,8377","2,8698","2,8377","","1,03%"
"20.02.2015","2,8680","2,8673","2,8863","2,8546","","0,05%"
"23.02.2015","2,8788","2,8673","2,9040","2,8610","","0,38%"
"24.02.2015","2,8330","2,8790","2,8912","2,8262","","-1,59%"
"25.02.2015","2,8750","2,8330","2,8857","2,8329","","1,48%"
"26.02.2015","2,9085","2,8750","2,9085","2,8410","","1,17%"
"27.02.2015","2,8390","2,9090","2,9214","2,8390","","-2,39%"
"02.03.2015","2,8965","2,8385","2,8977","2,8385","","2,03%"
"03.03.2015","2,9311","2,8968","2,9348","2,8914","","1,19%"
"04.03.2015","2,9766","2,9314","3,0011","2,9314","","1,55%"
"05.03.2015","3,0035","2,9781","3,0227","2,9781","","0,90%"
"06.03.2015","3,0617","3,0037","3,0732","2,9837","","1,94%"
"09.03.2015","3,1223","3,0610","3,1332","3,0585","","1,98%"
"10.03.2015","3,1022","3,1234","3,1728","3,0886","","-0,64%"
"11.03.2015","3,1257","3,1022","3,1407","3,0826","","0,76%"
"12.03.2015","3,1661","3,1265","3,1726","3,0765","","1,29%"
"13.03.2015","3,2492","3,1661","3,2813","3,1657","","2,62%"
"16.03.2015","3,2488","3,2482","3,2634","3,2061","","-0,01%"
"17.03.2015","3,2395","3,2433","3,2835","3,2247","","-0,29%"
"18.03.2015","3,2097","3,2396","3,2805","3,1897","","-0,92%"
"19.03.2015","3,2921","3,2092","3,3071","3,2081","","2,57%"
"20.03.2015","3,2293","3,2922","3,3176","3,2022","","-1,91%"
"23.03.2015","3,1322","3,2283","3,2298","3,1292","","-3,01%"
"24.03.2015","3,1398","3,1322","3,1723","3,0918","","0,24%"
"25.03.2015","3,2012","3,1395","3,2043","3,1162","","1,96%"
"26.03.2015","3,1828","3,2008","3,2247","3,1720","","-0,57%"
"27.03.2015","3,2496","3,1829","3,2500","3,1796","","2,10%"
"30.03.2015","3,2306","3,2496","3,2889","3,2079","","-0,58%"
"31.03.2015","3,1958","3,2291","3,2695","3,1657","","-1,08%"
"01.04.2015","3,1655","3,1946","3,1946","3,1322","","-0,95%"
"02.04.2015","3,1205","3,1659","3,1861","3,1181","","-1,42%"
"03.04.2015","3,1210","3,1203","3,1215","3,1203","","0,02%"
"06.04.2015","3,1263","3,1202","3,1272","3,0810","","0,17%"
"07.04.2015","3,1288","3,1268","3,1491","3,1103","","0,08%"
"08.04.2015","3,0495","3,1283","3,1298","3,0463","","-2,53%"
"09.04.2015","3,0591","3,0494","3,0747","3,0227","","0,31%"
"10.04.2015","3,0756","3,0587","3,0953","3,0587","","0,54%"
"13.04.2015","3,1212","3,0747","3,1288","3,0745","","1,48%"
"14.04.2015","3,0634","3,1225","3,1267","3,0559","","-1,85%"
"15.04.2015","3,0294","3,0649","3,0954","3,0246","","-1,11%"
"16.04.2015","3,0221","3,0293","3,0418","2,9988","","-0,24%"
"17.04.2015","3,0409","3,0225","3,0709","3,0043","","0,62%"
"20.04.2015","3,0330","3,0533","3,0588","3,0218","","-0,26%"
"21.04.2015","3,0340","3,0325","3,0340","3,0299","","0,03%"
"22.04.2015","3,0113","3,0350","3,0393","2,9976","","-0,75%"
"23.04.2015","2,9707","3,0108","3,0327","2,9696","","-1,35%"
"24.04.2015","2,9517","2,9702","2,9914","2,9501","","-0,64%"
"27.04.2015","2,9173","2,9513","2,9612","2,8993","","-1,17%"
"28.04.2015","2,9364","2,9175","2,9442","2,8816","","0,65%"
"29.04.2015","2,9612","2,9380","2,9658","2,9145","","0,84%"
"30.04.2015","3,0145","2,9611","3,0206","2,9489","","1,80%"
"01.05.2015","3,0146","3,0152","3,0176","3,0124","","0,00%"
"04.05.2015","3,0864","3,0159","3,0961","3,0122","","2,38%"
"05.05.2015","3,0536","3,0866","3,0914","3,0426","","-1,06%"
"06.05.2015","3,0333","3,0577","3,0763","3,0228","","-0,66%"
"07.05.2015","3,0260","3,0344","3,0644","3,0155","","-0,24%"
"08.05.2015","2,9733","3,0252","3,0442","2,9733","","-1,74%"
"11.05.2015","3,0614","2,9759","3,0634","2,9759","","2,96%"
"12.05.2015","3,0206","3,0595","3,0786","3,0130","","-1,33%"
"13.05.2015","3,0403","3,0199","3,0451","2,9826","","0,65%"
"14.05.2015","2,9935","3,0400","3,0415","2,9893","","-1,54%"
"15.05.2015","2,9972","2,9949","3,0160","2,9714","","0,12%"
"18.05.2015","3,0076","2,9964","3,0320","2,9945","","0,35%"
"19.05.2015","3,0394","3,0071","3,0446","3,0028","","1,06%"
"20.05.2015","3,0027","3,0393","3,0462","2,9981","","-1,21%"
"21.05.2015","3,0379","3,0023","3,0463","2,9972","","1,17%"
"22.05.2015","3,0949","3,0403","3,1007","3,0334","","1,88%"
"25.05.2015","3,0968","3,0957","3,1345","3,0892","","0,06%"
"26.05.2015","3,1536","3,0970","3,1557","3,0916","","1,83%"
"27.05.2015","3,1409","3,1547","3,1867","3,1388","","-0,40%"
"28.05.2015","3,1624","3,1399","3,1890","3,1399","","0,68%"
"29.05.2015","3,1798","3,1624","3,1973","3,1408","","0,55%"
"01.06.2015","3,1718","3,1795","3,2154","3,1592","","-0,25%"
"02.06.2015","3,1306","3,1710","3,1765","3,1253","","-1,30%"
"03.06.2015","3,1345","3,1304","3,1467","3,1024","","0,12%"
"04.06.2015","3,1418","3,1348","3,1477","3,1337","","0,23%"
"05.06.2015","3,1439","3,1408","3,1894","3,1075","","0,07%"
"08.06.2015","3,1132","3,1426","3,1490","3,1059","","-0,98%"
"09.06.2015","3,0966","3,1130","3,1199","3,0884","","-0,53%"
"10.06.2015","3,1187","3,0972","3,1193","3,0625","","0,71%"
"11.06.2015","3,0896","3,1177","3,1715","3,0886","","-0,93%"
