"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.07.2018","39,3010","0,0000","39,5091","38,9371","","-0,33%"
"20.07.2018","39,5894","0,0000","39,6190","39,0773","","0,73%"
"23.07.2018","39,3573","0,0000","39,7094","39,2782","","-0,59%"
"24.07.2018","39,3573","0,0000","39,5271","39,1548","","0,00%"
"25.07.2018","39,5827","0,0000","39,6798","39,3091","","0,57%"
"26.07.2018","39,2969","0,0000","39,7113","39,2808","","-0,72%"
"27.07.2018","39,3194","0,0000","39,4567","39,1252","","0,06%"
"30.07.2018","39,2657","0,0000","39,3875","39,1776","","-0,14%"
"31.07.2018","39,3335","0,0000","39,4914","39,0438","","0,17%"
"01.08.2018","39,0789","0,0000","39,3782","39,0696","","-0,65%"
"02.08.2018","38,8133","0,0000","39,2567","38,7995","","-0,68%"
"03.08.2018","38,9998","0,0000","39,2242","38,7095","","0,48%"
"06.08.2018","38,7770","0,0000","39,1548","38,7767","","-0,57%"
"07.08.2018","38,9230","0,0000","39,1004","38,8169","","0,38%"
"08.08.2018","39,0053","0,0000","39,0908","38,7699","","0,21%"
"09.08.2018","38,9657","0,0000","39,1364","38,9136","","-0,10%"
"10.08.2018","38,9297","0,0000","39,1284","38,7545","","-0,09%"
"13.08.2018","38,3635","0,0000","39,0255","38,3028","","-1,45%"
"14.08.2018","38,3761","0,0000","38,5371","38,3153","","0,03%"
"15.08.2018","37,7540","0,0000","38,4079","37,7041","","-1,62%"
"16.08.2018","37,7308","0,0000","38,0018","37,2936","","-0,06%"
"17.08.2018","38,0777","0,0000","38,0986","37,6681","","0,92%"
"20.08.2018","38,2648","0,0000","38,2870","38,0112","","0,49%"
"21.08.2018","38,4433","0,0000","38,4834","38,1661","","0,47%"
"22.08.2018","38,4237","0,0000","38,6294","38,3253","","-0,05%"
"23.08.2018","38,0960","0,0000","38,4719","38,0433","","-0,85%"
"24.08.2018","38,7593","0,0000","38,8525","38,0311","","1,74%"
"27.08.2018","38,9339","0,0000","38,9789","38,6603","","0,45%"
"28.08.2018","38,6034","0,0000","39,0400","38,5490","","-0,85%"
"29.08.2018","38,7821","0,0000","38,8165","38,5979","","0,46%"
"30.08.2018","38,5651","0,0000","38,8323","38,4507","","-0,56%"
"31.08.2018","38,6037","0,0000","38,8635","38,5182","","0,10%"
"03.09.2018","38,5937","0,0000","38,7043","38,4317","","-0,03%"
"04.09.2018","38,2886","0,0000","38,6439","38,2336","","-0,79%"
"05.09.2018","38,4619","0,0000","38,5285","38,2803","","0,45%"
"06.09.2018","38,5735","0,0000","38,8053","38,4269","","0,29%"
"07.09.2018","38,4317","0,0000","38,6947","38,3491","","-0,37%"
"10.09.2018","38,4339","0,0000","38,5317","38,2938","","0,01%"
"11.09.2018","38,5021","0,0000","38,5609","38,1697","","0,18%"
"12.09.2018","38,7561","0,0000","38,8535","38,3288","","0,66%"
"13.09.2018","38,6034","0,0000","38,9876","38,5690","","-0,39%"
"14.09.2018","38,3658","0,0000","38,8567","38,3471","","-0,62%"
"17.09.2018","38,5979","0,0000","38,7352","38,3420","","0,60%"
"18.09.2018","38,5040","0,0000","38,6947","38,4352","","-0,24%"
"19.09.2018","38,6960","0,0000","38,7776","38,4973","","0,50%"
"20.09.2018","38,7982","0,0000","38,8484","38,6018","","0,26%"
"21.09.2018","38,5516","0,0000","38,9352","38,3079","","-0,64%"
"24.09.2018","38,5320","0,0000","38,7130","38,3835","","-0,05%"
"25.09.2018","38,6040","0,0000","38,6873","38,4783","","0,19%"
"26.09.2018","38,3899","0,0000","38,6593","38,2635","","-0,55%"
"27.09.2018","38,0157","0,0000","38,5349","37,9896","","-0,97%"
"28.09.2018","38,3137","0,0000","38,3751","37,9488","","0,78%"
"01.10.2018","38,1864","0,0000","38,3307","38,0732","","-0,33%"
"02.10.2018","38,6670","0,0000","38,8455","38,1999","","1,26%"
"03.10.2018","38,4818","0,0000","38,8484","38,4606","","-0,48%"
"04.10.2018","38,5571","0,0000","38,7966","38,4317","","0,20%"
"05.10.2018","38,6596","0,0000","38,7667","38,4716","","0,27%"
"08.10.2018","38,1828","0,0000","38,7127","38,0404","","-1,23%"
"09.10.2018","38,2327","0,0000","38,3166","38,0356","","0,13%"
"10.10.2018","38,3995","0,0000","38,4127","38,0922","","0,44%"
"11.10.2018","39,3438","0,0000","39,4255","38,2819","","2,46%"
"12.10.2018","39,1445","0,0000","39,3441","39,0699","","-0,51%"
"15.10.2018","39,4341","0,0000","39,6502","39,1278","","0,74%"
"16.10.2018","39,3534","0,0000","39,6216","39,3187","","-0,20%"
"17.10.2018","39,2972","0,0000","39,5293","39,2213","","-0,14%"
"18.10.2018","39,3850","0,0000","39,5489","39,1609","","0,22%"
"19.10.2018","39,4123","0,0000","39,5653","39,3068","","0,07%"
"22.10.2018","39,2731","0,0000","39,5306","39,2129","","-0,35%"
"23.10.2018","39,5509","0,0000","39,8566","39,2689","","0,71%"
"24.10.2018","39,6605","0,0000","39,6621","39,3879","","0,28%"
"25.10.2018","39,5968","15,4121","39,8418","39,4634","","-0,16%"
"26.10.2018","39,6473","0,4705","39,9736","39,5255","","0,13%"
"28.10.2018","0,4727","0,4726","0,4733","0,4703","","-98,81%"
"29.10.2018","39,5245","0,4726","39,7187","39,3544","","8.261,02%"
"30.10.2018","39,3126","0,4657","39,5647","39,2036","","-0,54%"
"31.10.2018","39,0303","0,4647","39,3300","38,9512","","-0,72%"
"01.11.2018","39,6354","0,4591","39,7830","39,0438","","1,55%"
"02.11.2018","39,6251","0,4743","39,7505","39,5274","","-0,03%"
"04.11.2018","0,4743","0,4740","0,4746","0,4737","","-98,80%"
"05.11.2018","39,5856","0,4744","39,7087","39,4329","","8.245,98%"
"06.11.2018","39,4268","0,4709","39,7357","39,3213","","-0,40%"
"07.11.2018","39,4071","0,4677","39,7328","39,3171","","-0,05%"
"08.11.2018","39,3361","0,4682","39,4493","39,2107","","-0,18%"
"09.11.2018","38,8834","0,4642","39,3364","38,7780","","-1,15%"
"11.11.2018","0,4562","0,4556","0,4562","0,4544","","-98,83%"
"12.11.2018","38,5924","0,4562","38,9467","38,5905","","8.360,42%"
"13.11.2018","38,6513","0,4512","38,7474","38,4490","","0,15%"
"14.11.2018","38,9422","0,4509","39,1036","38,4860","","0,75%"
"15.11.2018","38,9895","0,4548","39,1040","38,8210","","0,12%"
"16.11.2018","39,2808","0,4592","39,3940","38,9943","","0,75%"
"18.11.2018","0,4637","0,4636","0,4639","0,4597","","-98,82%"
"19.11.2018","39,3351","0,4637","39,3907","39,1419","","8.382,06%"
"20.11.2018","39,2875","0,4640","39,5065","39,2011","","-0,12%"
"21.11.2018","39,3991","0,4602","39,5476","39,1962","","0,28%"
"22.11.2018","39,4393","0,4657","39,5148","39,3702","","0,10%"
"23.11.2018","39,3023","0,4660","39,4978","39,2168","","-0,35%"
"25.11.2018","0,4600","0,4584","0,4608","0,4574","","-98,83%"
"26.11.2018","39,2982","0,4599","39,4824","39,2576","","8.443,17%"
"27.11.2018","39,0561","0,4582","39,3914","38,9461","","-0,62%"
"28.11.2018","39,2522","0,4552","39,4245","38,9233","","0,50%"
"29.11.2018","39,3171","0,4605","39,5120","39,2274","","0,17%"
"30.11.2018","39,2773","0,4602","39,4026","39,1001","","-0,10%"
"02.12.2018","0,4577","0,4558","0,4619","0,4558","","-98,83%"
"03.12.2018","39,5743","0,4575","39,7020","39,2564","","8.545,51%"
"04.12.2018","39,7965","0,4631","39,9267","39,5518","","0,56%"
"05.12.2018","39,7920","0,4673","39,8434","39,6380","","-0,01%"
"06.12.2018","39,7991","0,4661","40,0058","39,6820","","0,02%"
"07.12.2018","40,1267","0,4652","40,1897","39,7740","","0,82%"
"09.12.2018","0,4697","0,4702","0,4711","0,4693","","-98,83%"
"10.12.2018","40,0023","0,4696","40,2061","39,9032","","8.417,33%"
